UMAP1,UMAP2
12.732705,2.3693538
-0.3358361,-5.8493357
13.015741,4.7895255
0.45783657,-3.3607314
13.428514,4.7540135
11.870726,6.6669354
13.485826,5.577435
0.92315906,-2.1322575
0.09203591,-3.4625354
1.3804921,-4.813459
0.5031617,-2.9499469
1.8738952,-4.3890233
11.455898,3.0214722
3.698288,-4.3137035
0.9130864,-5.8676853
1.9676625,-1.2622132
2.3792956,-3.8291674
1.61011,-2.5425737
13.850687,6.3518395
-0.9472551,-5.8476515
3.1206737,-5.0096455
11.917234,5.2558994
3.9512289,-2.8690312
-0.3762816,-5.0055776
12.095432,4.262955
12.668885,1.5250487
13.683115,3.343796
2.299091,-2.7248826
10.868671,5.8218327
1.9456784,-2.868739
12.993911,2.9068055
0.07042029,-2.7351856
12.419829,3.0925756
1.2720559,-5.5113373
11.644195,1.4722103
12.15756,2.0195081
1.3191375,-6.0709667
1.7496457,-3.264286
1.4274135,-4.970255
0.6565745,-5.3025985
10.035935,2.6265023
13.362252,6.687897
10.988258,5.414645
3.1421063,-4.8298225
10.776852,4.996142
1.7996252,-4.8374453
-0.07868729,-5.374541
1.7513424,-5.125239
1.9961407,-3.5906944
2.8409412,-4.4739795
12.18532,1.1810926
0.019129904,-4.1687036
-0.023130994,-2.9834747
0.43099573,-5.979992
1.2658993,-5.46405
0.84972024,-5.7349377
2.5293422,-4.1192904
11.981047,4.9378552
1.2322842,-5.8773704
11.987705,5.2902102
12.59428,5.162428
1.347323,-4.6017513
13.473884,5.4468527
1.0482846,-5.4744015
0.019254977,-2.5877073
11.295506,6.0167646
1.4457854,-4.268035
1.1897624,-2.4572816
2.091136,-4.1721435
1.5792636,-4.029476
13.088092,5.038851
0.059659503,-3.0083508
-0.48745453,-5.114139
1.1030734,-6.372963
0.5405922,-4.298646
12.946365,3.1136973
11.334267,3.1526215
12.035748,6.2340517
12.514719,1.677536
1.7408453,-6.1942453
1.0786914,-2.0726244
1.0562327,-5.3995767
2.0630972,-2.978809
1.4663851,-4.144288
2.9403286,-5.3926306
-0.11621649,-5.85966
0.16597643,-2.745189
-0.2496005,-4.084057
-0.97306883,-2.2422044
10.7023115,2.5641644
0.8170646,-2.6910818
1.8395777,-4.0495977
12.845387,3.112563
2.8599014,-5.039251
1.0251161,-5.956704
2.5019407,-3.180208
-0.75938785,-4.2874413
